代碼,學分,學時,老師,班級,Subject,科目,時間,地點
GA01,3,3,黃展鵬,資管碩一選2, Introduction and practice of Digital Learning,數位學習導論與實務,二05-07,管理館M402A)
GA02,3,3,劉宜菁,資管碩一選2, Business Innovation and Management,企業創新與管理,三02-04,管理館M510B)
GA03,3,3,范振銘,資管碩一選3, Enterprise Resource Planning,企業資源規劃,四05-07,管理館M510B)
GA04,3,3,黃俊明,資管碩一選4, TRIZ-Innovative Thinking and Application,萃思創意思考與應用,五02-04,管理館M108)
GA05,3,3,董俊良,資管碩一選5, Big Data Analytics,巨量資料分析,五05-07,管理館M402A)
GA95,3,3,楊惠貞,資管碩一, Research Method,研究方法,二02-04,管理館M510B)
GA96,3,3,張定原,資管碩一, Innovation Research,創新研究,一06-08,管理館M402A)
GA97,1,2,資書報,資管碩一, Seminar（I）,書報討論（一）,三05-06,管理館M503)
GA99,3,3,,資管碩二, Papers,論文,,
